layer,val_acc_logreg,test_acc_logreg,C,val_acc_mlp,test_acc_mlp
0,0.6833,0.6717,0.1,0.6833,0.6717
1,0.7,0.65,0.1,0.6933,0.64
2,0.7067,0.67,0.1,0.68,0.6717
3,0.6767,0.6533,0.3,0.6533,0.6533
4,0.69,0.6617,0.1,0.6733,0.66
5,0.7033,0.6617,0.1,0.69,0.6483
6,0.7033,0.6767,10.0,0.68,0.6533
7,0.6933,0.6767,0.3,0.6967,0.6767
8,0.6967,0.6767,3.0,0.6933,0.6517
9,0.68,0.6833,0.1,0.7,0.65
10,0.6867,0.6583,0.1,0.7067,0.6783
11,0.69,0.66,0.1,0.67,0.6533
12,0.6933,0.6583,0.1,0.7033,0.655
13,0.6833,0.6933,0.1,0.68,0.6683
14,0.7133,0.675,0.1,0.68,0.655
15,0.6867,0.6783,0.3,0.69,0.6533
16,0.6833,0.6767,10.0,0.6767,0.66
17,0.6833,0.6783,0.1,0.69,0.6567
18,0.7,0.7017,0.1,0.7033,0.6617
19,0.7,0.6817,10.0,0.7,0.6733
20,0.71,0.6817,0.3,0.68,0.6867
21,0.71,0.7167,0.3,0.7067,0.6767
22,0.72,0.715,0.3,0.6967,0.6767
