layer,val_acc_logreg,test_acc_logreg,C,val_acc_mlp,test_acc_mlp
0,0.6833,0.6717,0.1,0.6833,0.6717
1,0.6833,0.655,0.1,0.6767,0.6567
2,0.6933,0.665,0.3,0.68,0.6383
3,0.7033,0.6583,0.1,0.67,0.64
4,0.7167,0.6783,3.0,0.7233,0.665
5,0.71,0.6683,0.3,0.6933,0.6483
6,0.7067,0.6583,0.3,0.7067,0.67
7,0.7067,0.6567,0.1,0.6633,0.675
8,0.7067,0.6683,0.1,0.72,0.6683
9,0.6967,0.6917,10.0,0.69,0.6567
10,0.7,0.67,0.1,0.6833,0.6583
11,0.75,0.7333,10.0,0.6933,0.71
12,0.75,0.7267,1.0,0.7267,0.6933
13,0.7333,0.7367,0.1,0.73,0.7083
14,0.7433,0.7267,0.1,0.7333,0.6767
15,0.74,0.7283,3.0,0.7167,0.7317
16,0.7633,0.7617,10.0,0.7333,0.7083
17,0.77,0.75,10.0,0.7233,0.7217
18,0.7433,0.7533,3.0,0.7267,0.7283
19,0.7467,0.7617,0.3,0.7133,0.6867
20,0.7533,0.7467,0.1,0.72,0.71
21,0.7467,0.745,0.1,0.7333,0.725
22,0.74,0.7367,1.0,0.7533,0.7217
23,0.7467,0.7317,0.3,0.7367,0.71
24,0.7433,0.725,0.3,0.7033,0.68
25,0.76,0.7183,0.3,0.7333,0.7033
26,0.7567,0.7333,1.0,0.73,0.6933
27,0.76,0.7033,0.3,0.73,0.6867
28,0.7467,0.7267,1.0,0.7267,0.6983
